state,county,document_kind,artefact_kind,election_date,election_type,offices_covered,file_type,status,certification_date,county_fips,source_url,retrieval_date,sha256,pages,source_filename,repo_path,flags
TN,Benton,results,document,2001-06-12,municipal,unknown,pdf,official_claimed,unknown,47005,https://www.bentoncotnelections.com/_files/ugd/469c88_07ab1008bb724e36ae8baa0b0239e503.pdf,2026-09-15,1fbb30e92e56e17d532c27492f37db704f8d7f664183d5ecfc961492a3587c03,2,469c88_07ab1008bb724e36ae8baa0b0239e503.pdf,2001/2001-06-12/benton/469c88_07ab1008bb724e36ae8baa0b0239e503.pdf,"election date taken from a bare date on the page, not from an 'Election Date' label; the page states none; status is the DOCUMENT's own claim, read from its first page; no certification document is held; offices not enumerated; requires a full parse of the document; scanned, no text layer"
TN,Benton,results,document,2002-05-07,primary,unknown,pdf,unknown,unknown,47005,https://www.bentoncotnelections.com/_files/ugd/469c88_92cdedee40684fbdb0298d0aeb7636e3.pdf,2026-09-15,9ea4025cd3d6d1179ee64c39ad906b81842e3316d1e289bdf76ae1eb2b5d21f5,1,469c88_92cdedee40684fbdb0298d0aeb7636e3.pdf,2002/2002-05-07/benton/469c88_92cdedee40684fbdb0298d0aeb7636e3.pdf,"election date taken from a bare date on the page, not from an 'Election Date' label; the page states none; no status wording readable in the document; offices not enumerated; requires a full parse of the document; scanned, no text layer"
TN,Benton,results,document,2002-08-01,primary+general,unknown,pdf,official_claimed,unknown,47005,https://www.bentoncotnelections.com/_files/ugd/469c88_b66c17557a384cc5abc2d67f8fce095e.pdf,2026-09-15,9d4603c0e3db0ceb16ec1bdaa1c92370b7a84f600f52a6ddaf54532862ff3089,4,469c88_b66c17557a384cc5abc2d67f8fce095e.pdf,2002/2002-08-01/benton/469c88_b66c17557a384cc5abc2d67f8fce095e.pdf,"election date taken from a bare date on the page, not from an 'Election Date' label; the page states none; status is the DOCUMENT's own claim, read from its first page; no certification document is held; offices not enumerated; requires a full parse of the document; scanned, no text layer"
TN,Benton,results,document,2002-11-05,general,unknown,pdf,official_claimed,unknown,47005,https://www.bentoncotnelections.com/_files/ugd/469c88_6b541bfbbacd480ba6bcad4477083043.pdf,2026-09-15,84020d3e7be28f47f01e0f4c2ef15ff0a22e4c9ac64ea69f065e257910705020,2,469c88_6b541bfbbacd480ba6bcad4477083043.pdf,2002/2002-11-05/benton/469c88_6b541bfbbacd480ba6bcad4477083043.pdf,"election date taken from a bare date on the page, not from an 'Election Date' label; the page states none; status is the DOCUMENT's own claim, read from its first page; no certification document is held; offices not enumerated; requires a full parse of the document; scanned, no text layer"
TN,Benton,results,document,2003-06-10,municipal,unknown,pdf,election_night,unknown,47005,https://www.bentoncotnelections.com/_files/ugd/469c88_b0da5f9ba38247b2842242f82d5d3636.pdf,2026-09-15,4df396f3061cf38787f395331f63f8f76fa822e87481b7e38d3ef2c2fbebc13c,2,469c88_b0da5f9ba38247b2842242f82d5d3636.pdf,2003/2003-06-10/benton/469c88_b0da5f9ba38247b2842242f82d5d3636.pdf,"election date taken from a bare date on the page, not from an 'Election Date' label; the page states none; offices not enumerated; requires a full parse of the document; scanned, no text layer"
TN,Benton,results,document,2004-02-10,primary,unknown,pdf,unknown,unknown,47005,https://www.bentoncotnelections.com/_files/ugd/469c88_0988eb85637241f0b00336878f2afe0c.pdf,2026-09-15,fb31d407b5b3b18de055d918293ff6ff04aacc794202b7c6127411bd9acb5202,2,469c88_0988eb85637241f0b00336878f2afe0c.pdf,2004/2004-02-10/benton/469c88_0988eb85637241f0b00336878f2afe0c.pdf,"election date taken from a bare date on the page, not from an 'Election Date' label; the page states none; no status wording readable in the document; offices not enumerated; requires a full parse of the document; scanned, no text layer"
TN,Benton,results,document,2004-08-05,primary+general,unknown,pdf,official_claimed,unknown,47005,https://www.bentoncotnelections.com/_files/ugd/469c88_ee3f12d498cc434aaaebdfa3cf01d64b.pdf,2026-09-15,54a19310b6ce4865c8026930ea2a46070dce6f0f160ade002a11dad185f381b0,2,469c88_ee3f12d498cc434aaaebdfa3cf01d64b.pdf,2004/2004-08-05/benton/469c88_ee3f12d498cc434aaaebdfa3cf01d64b.pdf,"election date taken from a bare date on the page, not from an 'Election Date' label; the page states none; status is the DOCUMENT's own claim, read from its first page; no certification document is held; offices not enumerated; requires a full parse of the document; scanned, no text layer"
TN,Benton,results,document,2004-11-02,general,unknown,pdf,unknown,unknown,47005,https://www.bentoncotnelections.com/_files/ugd/469c88_d6320f026f0a4bea9d7216a609c1f103.pdf,2026-09-15,35dcd4881436e566e5e46ae7b0085d6b288e7f95de8c76aa533794c3cb5e6f6e,1,469c88_d6320f026f0a4bea9d7216a609c1f103.pdf,2004/2004-11-02/benton/469c88_d6320f026f0a4bea9d7216a609c1f103.pdf,"election date taken from a bare date on the page, not from an 'Election Date' label; the page states none; no status wording readable in the document; offices not enumerated; requires a full parse of the document; scanned, no text layer"
TN,Benton,results,document,2006-05-02,primary,unknown,pdf,unknown,unknown,47005,https://www.bentoncotnelections.com/_files/ugd/469c88_af10ea940d104521a8168c2c40ff61f2.pdf,2026-09-15,8351392f2486d6e2417d54ef9ec4037625a8ef1aec97e86d2a07139b67a04a58,2,469c88_af10ea940d104521a8168c2c40ff61f2.pdf,2006/2006-05-02/benton/469c88_af10ea940d104521a8168c2c40ff61f2.pdf,"election date taken from a bare date on the page, not from an 'Election Date' label; the page states none; no status wording readable in the document; offices not enumerated; requires a full parse of the document; scanned, no text layer"
TN,Benton,results,document,2006-08-03,unknown,unknown,pdf,official_claimed,unknown,47005,https://www.bentoncotnelections.com/_files/ugd/469c88_62f0fb067d364af4996e49e1e0573b04.pdf,2026-09-15,0ca68938f40d331635b909e05b18821e25f9e0693e5751e6b50746474be01584,10,469c88_62f0fb067d364af4996e49e1e0573b04.pdf,2006/2006-08-03/benton/469c88_62f0fb067d364af4996e49e1e0573b04.pdf,"election date taken from a bare date on the page, not from an 'Election Date' label; the page states none; no election type readable from the document or its label; status is the DOCUMENT's own claim, read from its first page; no certification document is held; offices not enumerated; requires a full parse of the document; scanned, no text layer"
